id,Stadtteil,Kaufpreis pro qm 2012 etw,Kaufpreis 2012 etw,Wohnfläche 2012 etw,Kaufpreis pro qm 2018 etw,Kaufpreis 2018 etw,Wohnfläche 2018 etw,Kaufpreis pro qm 2012 ezfh,Kaufpreis 2012 ezfh,Wohnfläche 2012 ezfh,Kaufpreis pro qm 2018 ezfh,Kaufpreis 2018 ezfh,Wohnfläche 2018 ezfh,Miete pro qm 2012,Miete 2012,Wohnfläche 2012,Miete pro qm 2018,Miete 2018,Wohnfläche 2018
1,Altstadt,5345,448127,77.46,7339,1006460,131.04,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,11.95,977,78.87,17.19,1426,79.97
,Bahnhofsviertel,4347,581147,128.17,6453,534534,81.55,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,12.47,1249,100.11,14.48,1340,91.98
46,Bergen-Enkheim,2648,268287,97.99,4517,497435,107.18,3628,958157,254.31,4764,890360,188.47,9.7,743,76.77,11.2,913,80.91
32,Berkersheim,k.A.,k.A.,k.A.,4089,428789,103.66,2698,437591,165.94,k.A.,k.A.,k.A.,9.39,710,75.4,10.83,890,82.31
12,Bockenheim,3524,361899,94.67,5829,536355,87.67,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,12.09,1027,82.54,13.91,1088,76.7
31,Bonames,1782,129515,69.37,3321,283369,78.31,2688,357180,134.34,3804,508944,133.9,9.01,669,75.16,10.33,681,67.67
9,Bornheim,3536,362919,95.35,5079,415039,78.04,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,11.52,695,61.04,13.84,844,61.33
27,Dornbusch,3084,300016,87.62,5077,491372,90.22,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,10.95,867,77.46,13.17,884,67.7
29,Eckenheim,2146,219558,92.26,3910,306379,75.93,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,10.34,727,70.06,12.06,732,61.68
28,Eschersheim,2835,249231,80.53,4177,382836,88.23,3473,656722,196.93,5205,1132316,208.26,11.24,1115,90.67,13.18,930,71.1
35,Fechenheim,2211,190861,82.38,3163,263545,83.62,2295,393444,183.96,k.A.,k.A.,k.A.,8.47,573,69.23,10.92,689,65.19
,Flughafen,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
47,Frankfurter Berg,2107,203928,93.79,3170,236977,73.8,2806,354176,137.71,k.A.,k.A.,k.A.,8.58,716,82.31,10.92,1016,83.32
11,Gallus,3680,307537,80.66,7055,597650,85.13,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,11.25,734,65.2,13.95,1034,74.75
26,Ginnheim,2714,232585,83.72,4937,409583,83.72,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.,10.86,1090,93.88,12.57,1036,80.6
