id,name,Stadtbezirk,Miete pro qm 2012,Miete 2012,Wohnfläche 2012,Miete pro qm 2018,Miete 2018,Wohnfläche 2018
,,Alt-Griesheim,"9,08",683,"75,19",k.A.,k.A.,k.A.
425,Alt-Praunheim,Alt-Praunheim,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
10,Altstadt,Altstadt,"11,95",977,"78,87","17,19",1.426,"79,97"
,,An den Röthen,"11,03",616,"57,16","13,84",802,"58,41"
90,Bahnhofsviertel,Bahnhofsviertel,"12,47",1.249,"100,11","14,48",1.340,"91,98"
,,Bankenviertel,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
680,Bergen-Enkheim,Bergen-Enkheim,"9,7",743,"76,77","11,2",913,"80,91"
500,Berkersheim,Berkersheim,"9,39",710,"75,4","10,83",890,"82,31"
341,Bockenheim,Bockenheim 341,"11,35",681,"61,44","14,51",1.013,"69,88"
342,Bockenheim,Bockenheim 342,"11,59",823,"71,46","14,04",1.074,"76,49"
350,Bockenheim,Bockenheim 350,"11,96",705,"58,91","14,37",844,"60,63"
361,Bockenheim,Bockenheim 361,"12,26",871,"73,21","13,11",872,66
491,Bonames,Bonames,"9,01",669,"75,16","10,33",681,"67,67"
240,Bornheim,Bornheim 240,"12,91",521,"43,33","15,15",787,"53,6"
282,Bornheim,Bornheim 282,"10,8",658,"62,36","13,75",928,"67,84"
290,Bornheim,Bornheim 290,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
,,Bornheimer Hang,"10,61",451,"48,97",k.A.,k.A.,k.A.
484,Campus Niederursel,Campus Niederursel,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
,,Carl-Schurz-Siedlung,"11,4",1.059,"89,37","14,58",1.156,"79,97"
,,Diplomatenviertel,"11,85",781,"63,75","16,02",1.683,"98,42"
462,Dornbusch-Ost,Dornbusch-Ost 462,"8,91",550,"62,36","12,59",741,"60,32"
463,Dornbusch-Ost,Dornbusch-Ost 463,"11,22",755,"67,7","13,2",925,"69,82"
442,Dornbusch-West,Dornbusch-West,"10,98",726,"66,35","13,34",767,"58,24"
461,Eckenheim,Eckenheim,"10,34",727,"70,06","12,06",732,"61,68"
451,Eschersheim-Nord,Eschersheim-Nord,"10,45",671,"65,5","13,4",841,"64,55"
452,Eschersheim-Süd,Eschersheim-Süd,"10,2",672,"64,87","13,56",818,"61,77"
,,Europaviertel,"10,66",707,"65,67","14,46",959,"66,89"
510,Fechenheim-Nord,Fechenheim-Nord,"8,31",526,"62,5","11,25",696,"64,02"
520,Fechenheim-Süd,Fechenheim-Süd,"8,54",558,"67,09","10,89",716,"68,61"
492,Frankfurter Berg,Frankfurter Berg,"8,58",716,"82,31","10,92",1.016,"83,32"
,,Friedrich-Ebert-Siedlung,"8,7",514,"60,42","11,86",741,"64,61"
,,Fritz-Kissel-Siedlung,"9,87",519,"53,09","12,01",816,"68,51"
152,Gallus,Gallus 152,"11,96",621,"54,09",k.A.,k.A.,k.A.
153,Gallus,Gallus 153,"10,32",658,"64,56","13,57",924,"70,49"
161,Gallus,Gallus 161,"12,42",886,"71,36","13,88",1.030,"75,73"
164,Gallus,Gallus 164,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
441,Ginnheim,Ginnheim,"10,86",1.090,"93,88","12,57",1.036,"80,6"
533,Goldstein-Ost,Goldstein-Ost,"13,23",967,"73,27",k.A.,k.A.,k.A.
532,Goldstein-West,Goldstein-West,"8,17",624,"75,85","11,39",687,"63,06"
542,Griesheim-Ost,Griesheim-Ost 542,"8,13",563,"70,19","11,99",681,"59,09"
552,Griesheim-West,Griesheim-West 552,"9,65",577,"62,02","11,49",623,"55,05"
151,Gutleutviertel,Gutleutviertel,"12,79",1.046,"78,81","14,24",1.186,"82,09"
660,Harheim,Harheim,"8,22",681,"84,45","10,33",821,"79,07"
410,Hausen,Hausen,"10,94",739,"67,77","12,81",817,"65,89"
431,Heddernheim-Ost,Heddernheim-Ost,"10,3",542,"54,3","12,6",845,"69,7"
432,Heddernheim-West,Heddernheim-West,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
,,Heimatsiedlung,"11,98",1.098,"88,59","14,18",1.273,"90,57"
,,Hellerhofsiedlung,"8,05",515,"63,67","13,03",1.137,"85,82"
580,Höchst-Ost,Höchst-Ost,"9,49",525,"59,46","11,43",766,"71,39"
570,Höchst-West,Höchst-West,"8,45",494,"61,25","11,87",783,"70,09"
,,Höchster Innenstadt,"9,32",696,"76,73","10,49",793,"77,3"
,,Holzhausenviertel,"14,91",1.856,"117,64","14,55",1.140,"77,36"
,,Im Prüfling,k.A.,k.A.,k.A.,"13,66",836,"61,86"
,,Industriehof,"10,64",876,"81,47","11,89",941,80
,,Industriepark Griesheim,"9,27",452,"55,83","10,91",573,"56,65"
50,Innenstadt,Innenstadt 050,"11,03",753,"69,85","19,76",2.546,"114,74"
60,Innenstadt,Innenstadt 060,"12,24",561,"49,77","14,77",1.030,"69,38"
70,Innenstadt,Innenstadt 070,"9,4",527,"59,53","16,19",747,"48,59"
80,Innenstadt,Innenstadt 080,"12,22",515,"49,06","15,09",857,"62,77"
650,Kalbach,Kalbach,"9,19",799,"86,66","11,1",744,"67,58"
,,Lerchesberg,"11,15",729,"66,23","13,63",925,"68,42"
562,Nied-Nord,Nied-Nord,"8,7",504,"59,21","11,3",812,"71,92"
561,Nied-Süd,Nied-Süd,"9,75",457,"50,12","11,1",639,"58,63"
640,Nieder-Erlenbach,Nieder-Erlenbach,"8,88",705,"79,67","10,47",722,"70,95"
670,Nieder-Eschbach,Nieder-Eschbach,"8,65",645,"76,42","11,02",733,"69,02"
371,Niederrad-Nord,Niederrad-Nord,"10,78",643,"63,77",13,806,"64,83"
372,Niederrad-Süd,Niederrad-Süd,"9,77",631,"64,94",12,840,"70,7"
481,Niederursel-Ost,Niederursel-Ost,"10,1",562,"59,1","11,81",720,"61,99"
482,Niederursel-West,Niederursel-West,"8,38",481,"58,7","11,72",723,"63,04"
130,Nordend-Ost,Nordend-Ost 130,"11,69",781,"67,57","14,4",863,"61,43"
221,Nordend-Ost,Nordend-Ost 221,"12,01",806,"66,74","14,54",870,"60,66"
222,Nordend-Ost,Nordend-Ost 222,"11,78",849,"73,11","14,52",910,"63,17"
230,Nordend-Ost,Nordend-Ost 230,"11,79",666,"59,5","14,88",853,"57,69"
120,Nordend-West,Nordend-West 120,"12,62",759,"60,45","15,01",1.017,"67,86"
201,Nordend-West,Nordend-West 201,"12,86",1.018,"79,22","14,82",1.158,"73,82"
