id,stadtteil,miete,kauf
1,Altstadt,13.40,"5,130"
,Bahnhofsviertel,14.70,"5,630"
46,Bergen-Enkheim,11.10,"3,580"
32,Berkersheim,11.90,"3,900"
12,Bockenheim,14.10,"5,590"
31,Bonames,11.00,"3,300"
9,Bornheim,13.80,"5,220"
27,Dornbusch,13.60,"4,960"
29,Eckenheim,11.90,"3,900"
28,Eschersheim,12.20,"3,610"
35,Fechenheim,10.70,"2,880"
,Flughafen,10.80,"3,250"
47,Frankfurter Berg,12.20,"3,610"
11,Gallus,13.80,"5,280"
26,Ginnheim,12.40,"4,190"
19,Griesheim,10.80,"3,040"
,Gutleutviertel,14.80,"5,650"
44,Harheim,11.00,"3,300"
21,Hausen,11.90,"3,540"
24,Heddernheim,11.60,"3,420"
36,Höchst,10.60,"3,070"
2,Innenstadt,15.30,"5,680"
43,Kalbach-Riedberg,11.00,"3,300"
37,Nied,11.20,"3,080"
42,Nieder-Erlenbach,11.00,"3,300"
45,Nieder-Eschbach,11.00,"3,300"
17,Niederrad,11.90,"3,680"
25,Niederursel,11.60,"3,420"
7,Nordend-Ost,13.20,"4,540"
6,Nordend-West,13.60,"4,960"
16,Oberrad,12.30,"3,750"
8,Ostend,15.00,"6,080"
22,Praunheim,11.90,"3,540"
30,Preungesheim,11.90,"3,900"
33,Riederwald,10.70,"2,880"
20,Rödelheim,11.60,"3,620"
13,Sachsenhausen-N.,13.80,"5,430"
14,Sachsenhausen-S.,11.90,"3,680"
18,Schwanheim,10.60,"3,070"
34,Seckbach,13.20,"4,540"
38,Sindlingen,10.70,"2,790"
41,Sossenheim,10.30,"2,430"
40,Unterliederbach,10.60,"3,070"
5,Westend-Nord,15.90,"6,450"
4,Westend-Süd,15.40,"6,970"
39,Zeilsheim,10.70,"2,790"
10,Gutleut-/Bahnhofsviertel,14.75,5640
