WkrNr,Wahlkreis,Insgesamt,CDU/CSU,SPD,FDP,DIE LINKE,GRÜNE
1,Flensburg – Schleswig,160636,61347,52396,8065,9084,15734
2,Nordfriesland – Dithmarschen Nord,130044,56383,38590,8321,5733,10547
3,Steinburg – Dithmarschen Süd,124958,52408,37502,7689,6286,9485
4,Rendsburg-Eckernförde,147967,60349,46658,8126,6447,13707
5,Kiel,144969,43893,50262,7708,10023,20394
6,Plön – Neumünster,125573,48683,41094,6722,5987,11577
7,Pinneberg,177373,72006,55371,9863,8910,15291
8,Segeberg – Stormarn-Mitte,181590,74161,54691,10449,9112,15695
9,Ostholstein – Stormarn-Nord,130487,53705,41134,8036,5663,10490
10,Herzogtum Lauenburg – Stormarn-Süd,181422,73603,53944,10878,8962,16579
11,Lübeck,123271,42218,42083,5857,7970,13638
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,146337,59028,31543,3298,29838,6526
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,135327,56975,26664,3011,28834,5460
14,Rostock – Landkreis Rostock II,150774,57188,29010,2911,35792,9874
15,Vorpommern-Rügen – Vorpommern-Greifswald I,154976,69683,22630,4067,31930,7372
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,146360,65767,21603,2910,31658,4010
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,133969,60407,22981,2771,28819,4474
18,Hamburg-Mitte,154569,41422,51971,5940,17071,21043
19,Hamburg-Altona,134464,39581,40009,7353,14525,22167
20,Hamburg-Eimsbüttel,141640,43989,44492,7308,12137,22074
21,Hamburg-Nord,162438,59244,49039,10242,10615,20357
22,Hamburg-Wandsbek,157002,54166,54089,7074,12131,14269
23,Hamburg-Bergedorf – Harburg,140716,47525,49302,4952,11817,12916
24,Aurich – Emden,132532,43026,58080,4323,6588,11028
25,Unterems,165314,80616,51079,6537,6771,9506
26,Friesland – Wilhelmshaven – Wittmund,132402,50796,48011,5670,6814,9731
27,Oldenburg – Ammerland,162141,57067,52856,8210,10523,20170
28,Delmenhorst – Wesermarsch – Oldenburg-Land,160787,62620,54848,8035,8814,13059
29,Cuxhaven – Stade II,135967,59699,45534,4924,6241,9592
30,Stade I – Rotenburg II,144184,64472,44598,6023,6021,11209
31,Mittelems,169238,94923,44069,7032,5107,9160
32,Cloppenburg – Vechta,152564,96401,30168,7073,4259,6488
33,Diepholz – Nienburg I,141135,61404,44431,6929,6359,11556
34,Osterholz – Verden,143215,57243,47413,5235,8008,13708
35,Rotenburg I – Heidekreis,121829,53163,38018,4930,5572,10332
36,Harburg,151600,64905,42915,7382,6641,14078
37,Lüchow-Dannenberg – Lüneburg,132416,48756,38415,5281,9202,18892
38,Osnabrück-Land,143733,68972,42214,6599,5783,11046
39,Stadt Osnabrück,141199,60754,43099,5874,7188,15390
40,Nienburg II – Schaumburg,140617,56279,51043,4993,6006,11370
41,Stadt Hannover I,127999,42910,45441,6043,7993,15718
42,Stadt Hannover II,139290,41684,48292,5983,11129,21559
43,Hannover-Land I,175141,72286,57922,8725,7931,14308
44,Celle – Uelzen,155697,68568,46931,6478,7085,12071
45,Gifhorn – Peine,160468,64451,57875,5648,7575,11855
46,Hameln-Pyrmont – Holzminden,135896,50937,49411,5985,7201,11428
47,Hannover-Land II,181291,69644,65169,7228,8669,16212
48,Hildesheim,162997,63041,59319,5589,8120,14587
49,Salzgitter – Wolfenbüttel,149981,53593,58881,5142,8461,11013
50,Braunschweig,142285,48419,47741,6214,9527,17614
51,Helmstedt – Wolfsburg,131775,54188,45837,4796,6440,9004
52,Goslar – Northeim – Osterode,147264,55775,55985,6099,7475,10141
53,Göttingen,164303,59000,54410,6667,10432,20076
54,Bremen I,182696,55254,60502,7168,18502,25448
55,Bremen II – Bremerhaven,146716,41205,56702,4036,14782,14566
56,Prignitz – Ostprignitz-Ruppin – Havelland I,113091,40787,28483,2526,25496,3925
57,Uckermark – Barnim I,118583,43017,26578,2519,28513,4516
58,Oberhavel – Havelland II,166300,60586,39392,4965,30178,9558
59,Märkisch-Oderland – Barnim II,151659,48700,33220,3366,40055,6277
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,119323,40620,31368,2707,27318,4488
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,175291,54471,43710,5642,36805,15939
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,171057,59845,38793,4784,36799,7727
63,Frankfurt (Oder) – Oder-Spree,132830,44301,29631,2922,32862,5266
64,Cottbus – Spree-Neiße,123713,44230,26863,2984,27965,4382
65,Elbe-Elster – Oberspreewald-Lausitz II,116515,46044,23136,2950,25321,3104
66,Altmark,106217,44655,20196,2278,26180,3542
67,Börde – Jerichower Land,139326,60207,27279,3995,30235,4281
68,Harz,130199,56619,24407,2961,29875,4716
69,Magdeburg,152026,56982,31763,3687,36473,8490
70,Dessau – Wittenberg,119047,50633,20354,2892,27136,4703
71,Anhalt,138169,57357,23224,3556,35425,3572
72,Halle,141290,53265,25259,4418,34449,10185
73,Burgenland – Saalekreis,121847,52194,19850,3374,28933,3732
74,Mansfeld,130694,53869,22399,3837,33613,3637
75,Berlin-Mitte,139400,31544,36403,5134,26068,23329
76,Berlin-Pankow,172824,40617,38030,4380,43472,24300
77,Berlin-Reinickendorf,131056,52545,34571,5708,10394,11427
